Question,Answer
basics,basics
Describe any two new features of HTML5.,HTML 5 comes up with many new features including video/audio elements for media playback and better support for local offline storage.
What does a <hgroup> tag do?,"It is used for heading sections. Header tags used are from <h1> to <h6>. The largest is the main heading of the section, and the others are sub-headings."
Which video formats are used for the video element?,"Ogg, MPEG4, WebM"
How can we embed video in HTML5?,"<video src=""movie.ogg"" controls=""controls""></video>"
Which video format is supported by IE?,IE supports MPEG4 and WebM.
Name the audio formats supported in HTML5.,"Ogg Vorbis, MP3, WAV"
"What will the following code do?<audio src=""song.ogg"" controls=""controls""></audio>",It will play the audio file named song.ogg.
How will you define canvas with reference to HTML5?,"It is a rectangular area, where we can control every pixel."
Give an example of adding canvas in HTML5?,"<canvas id=""myCanvas"" width=""200"" height=""100""></canvas>"
Which methods/approaches are available in HTML5 to store data?,"Local Storage persists

| Session Storage is lost on window close etc"
Write a code snippet in HTML or Javascript that can count how many times a user visited the page.,"We can code the counter in Javascript and can call it from our web page written in HTML.<script type=""text/javascript"">
if (sessionStorage.pagecount)
{
sessionStorage.pagecount=Number(sessionStorage.pagecount) +1; }
Else
{
sessionStorage.pagecount=1;
}
document.write(""Visits ""+sessionStorage.pagecount+"" time(s) this session.""); </script>"
How can you test your browser's HTML5 compatibility?,Visiting http://html5test.com checks the browser's HTML5 compatibility and shows scores.

Question,Answer
semantic tags,semantic tags
aside,"The  tag defines some content aside from the content it is placed in.

The aside content should be related to the surrounding content.

<p>My family and I visited The Epcot center this summer.</p>

<aside>
  <h4>Epcot Center</h4>
  <p>The Epcot Center is a theme park in Disney World, Florida.</p>
</aside>"
Details,"The  tag specifies additional details that the user can view or hide on demand.
The  tag can be used to create an interactive widget that the user can open and close. Any sort of content can be put inside the  tag.
The content of a  element should not be visible unless the open attribute is set.
<details>
  <summary>Copyright 1999-2014.</summary>
  <p> - by Refsnes Data. All Rights Reserved.</p>
  <p>All content and graphics on this web site are the property of the company Refsnes Data.</p>
</details>

<p><b>Note:</b> The details tag is currently only supported in Opera, Chrome, and in Safari 6.</p>"
figcaption,"The  tag defines a caption for a  element.
The  element can be placed as the first or last child of the  element.
<figure>
  <img src=""img_pulpit.jpg"" alt=""The Pulpit Rock"" width=""304"" height=""228"">
  <figcaption>Fig1. - A view of the pulpit rock in Norway.</figcaption>
</figure>"
figure,"The  tag specifies self-contained content, like illustrations, diagrams, photos, code listings, etc.

While the content of the  element is related to the main flow, its position is independent of the main flow, and if removed it should not affect the flow of the document."
article,"The  tag specifies independent, self-contained content.

An article should make sense on its own and it should be possible to distribute it independently from the rest of the site.

Potential sources for the  element:

Forum post
Blog post
News story
Comment"
footer,"A  element should contain information about its containing element.

A  element typically contains:

```
 authorship information
copyright information
contact information
sitemap
back to top links
related documents
You can have several  elements in one document.
```"
header,"The  element represents a container for introductory content or a set of navigational links.

A  element typically contains:

one or more heading elements (<h1> - <h6>)
logo or icon
authorship information
You can have several  elements in one document.

Note: A  tag cannot be placed within a , <address> or another  element.</address></h6></h1>"
main,"The  tag specifies the main content of a document.

The content inside the  element should be unique to the document. It should not contain any content that is repeated across documents such as sidebars, navigation links, copyright information, site logos, and search forms.

Note: There must not be more than one  element in a document. The  element must NOT be a descendant of an , , , , or  element."
mark,"The  tag defines marked text.

Use the  tag if you want to highlight parts of your text."
nav,"The  tag defines a set of navigation links.

Notice that NOT all links of a document should be inside a  element. The  element is intended only for major block of navigation links.

Browsers, such as screen readers for disabled users, can use this element to determine whether to omit the initial rendering of this content."
section,"The  tag defines sections in a document, such as chapters, headers, footers, or any other sections of the document."
summary,The  tag defines a visible heading for the  element. The heading can be clicked to view/hide the details.
time,"The  tag defines a human-readable date/time.

This element can also be used to encode dates and times in a machine-readable way so that user agents can offer to add birthday reminders or scheduled events to the user's calendar, and search engines can produce smarter search results."
"Address

| Not strictly html5","The <address> tag defines the contact information for the author/owner of a document or an article.
If the <address> element is inside the <body> element, it represents contact information for the document.
If the <address> element is inside an <article> element, it represents contact information for that article.
The text in the <address> element usually renders in italic. Most browsers will add a line break before and after the address element."
"Address

| Not strictly html5","The <address> tag defines the contact information for the author/owner of a document or an article.
If the <address> element is inside the <body> element, it represents contact information for the document.
If the <address> element is inside an <article> element, it represents contact information for that article.
The text in the <address> element usually renders in italic. Most browsers will add a line break before and after the address element."

Question,Answer
attributes, attributes
autofocus,"The autofocus attribute is a boolean attribute.

When present, it specifies that an <input> element should automatically get focus when the page loads.

Example

Let the ""First name"" input field automatically get focus when the page loads:

First name:<input type=""text"" name=""fname"" autofocus>"
form,"The form attribute specifies one or more forms an <input> element belongs to.

Tip: To refer to more than one form, use a space-separated list of form ids.

Example

An input field located outside the HTML form (but still a part of the form):

<form action=""action_page.php"" id=""form1"">
  First name: <input type=""text"" name=""fname""><br>
  <input type=""submit"" value=""Submit"">
</form>

Last name: <input type=""text"" name=""lname"" form=""form1"">"
formaction,"The formaction attribute specifies the URL of a file that will process the input control when the form is submitted.

The formaction attribute overrides the action attribute of the <form> element.

The formaction attribute is used with type=""submit"" and type=""image"".

Example

An HTML form with two submit buttons, with different actions:

<form action=""action_page.php"">
  First name: <input type=""text"" name=""fname""><br>
  Last name: <input type=""text"" name=""lname""><br>
  <input type=""submit"" value=""Submit""><br>
  <input type=""submit"" formaction=""demo_admin.asp""
  value=""Submit as admin"">
</form>"
formenctype,"The formenctype attribute specifies how the form-data should be encoded when submitting it to the server (only for forms with method=""post"").

The formenctype attribute overrides the enctype attribute of the <form> element.

The formenctype attribute is used with type=""submit"" and type=""image"".

Example

Send form-data that is default encoded (the first submit button), and encoded as ""multipart/form-data"" (the second submit button):

<form action=""demo_post_enctype.asp"" method=""post"">
  First name: <input type=""text"" name=""fname""><br>
  <input type=""submit"" value=""Submit"">
  <input type=""submit"" formenctype=""multipart/form-data""
  value=""Submit as Multipart/form-data"">
</form>"
